timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
2023/03/08 20:04:18.767,2122,openStartPage_/,200,OK,Thread Group 1-1,text,true,,3222,696,2,2,https://challenge.flood.io/,2115,0,1847
2023/03/08 20:04:20.687,1127,openStartPage_/,200,OK,Thread Group 1-2,text,true,,3221,696,3,3,https://challenge.flood.io/,1126,0,892
2023/03/08 20:04:21.827,276,STEP2_/start,302,Found,Thread Group 1-2,text,true,,1131,1824,3,3,https://challenge.flood.io/start,274,0,0
2023/03/08 20:04:21.805,298,STEP2_/start,302,Found,Thread Group 1-1,text,true,,1131,1828,3,3,https://challenge.flood.io/start,296,0,0
2023/03/08 20:04:23.617,270,STEP2_/step/2,200,OK,Thread Group 1-2,text,true,,2418,1451,4,4,https://challenge.flood.io/step/2,268,0,0
2023/03/08 20:04:23.617,270,STEP2_/step/2,200,OK,Thread Group 1-1,text,true,,2418,1451,4,4,https://challenge.flood.io/step/2,268,0,0
2023/03/08 20:04:22.676,1291,openStartPage_/,200,OK,Thread Group 1-3,text,true,,3223,696,4,4,https://challenge.flood.io/,1291,0,1046
2023/03/08 20:04:23.926,283,STEP3_/start,302,Found,Thread Group 1-2,text,true,,1131,1853,4,4,https://challenge.flood.io/start,283,0,0
2023/03/08 20:04:23.926,283,STEP3_/start,302,Found,Thread Group 1-1,text,true,,1131,1857,4,4,https://challenge.flood.io/start,282,0,0
2023/03/08 20:04:23.975,242,STEP2_/start,302,Found,Thread Group 1-3,text,true,,1131,1824,4,4,https://challenge.flood.io/start,242,0,0
2023/03/08 20:04:25.631,299,STEP2_/step/2,200,OK,Thread Group 1-3,text,true,,2422,1451,5,5,https://challenge.flood.io/step/2,299,0,0
2023/03/08 20:04:24.735,1289,openStartPage_/,200,OK,Thread Group 1-4,text,true,,3223,696,5,5,https://challenge.flood.io/,1289,0,1044
2023/03/08 20:04:25.585,332,STEP3_/step/3,200,OK,Thread Group 1-2,text,true,,3021,1457,5,5,https://challenge.flood.io/step/3,330,0,0
2023/03/08 20:04:25.585,332,STEP3_/step/3,200,OK,Thread Group 1-1,text,true,,3037,1457,5,5,https://challenge.flood.io/step/3,330,0,0
